date,temp,holiday_state,rain_1h,snow_1h,clouds_all,traffic_volume
2012-10-02 09:00:00,288.28,0,0.0,0.0,40,5545
2012-10-02 10:00:00,289.36,0,0.0,0.0,75,4516
2012-10-02 11:00:00,289.58,0,0.0,0.0,90,4767
2012-10-02 12:00:00,290.13,0,0.0,0.0,90,5026
2012-10-02 13:00:00,291.14,0,0.0,0.0,75,4918
2012-10-02 14:00:00,291.72,0,0.0,0.0,1,5181
2012-10-02 15:00:00,293.17,0,0.0,0.0,1,5584
2012-10-02 16:00:00,293.86,0,0.0,0.0,1,6015
2012-10-02 17:00:00,294.14,0,0.0,0.0,20,5791
2012-10-02 18:00:00,293.1,0,0.0,0.0,20,4770
2012-10-02 19:00:00,290.97,0,0.0,0.0,20,3539
2012-10-02 20:00:00,289.38,0,0.0,0.0,1,2784
2012-10-02 21:00:00,288.61,0,0.0,0.0,1,2361
2012-10-02 22:00:00,287.16,0,0.0,0.0,1,1529
2012-10-02 23:00:00,285.45,0,0.0,0.0,1,963
2012-10-03 00:00:00,284.63,0,0.0,0.0,1,506
2012-10-03 01:00:00,283.47,0,0.0,0.0,1,321
2012-10-03 02:00:00,281.18,0,0.0,0.0,1,273
2012-10-03 03:00:00,281.09,0,0.0,0.0,1,367
2012-10-03 04:00:00,279.53,0,0.0,0.0,1,814
2012-10-03 05:00:00,278.62,0,0.0,0.0,1,2718
2012-10-03 06:00:00,278.23,0,0.0,0.0,1,5673
2012-10-03 08:00:00,278.12,0,0.0,0.0,1,6511
2012-10-03 09:00:00,282.48,0,0.0,0.0,1,5471
2012-10-03 12:00:00,291.97,0,0.0,0.0,1,5097
2012-10-03 13:00:00,293.23,0,0.0,0.0,1,4887
2012-10-03 14:00:00,294.31,0,0.0,0.0,1,5337
2012-10-03 15:00:00,295.17,0,0.0,0.0,1,5692
2012-10-03 16:00:00,295.13,0,0.0,0.0,1,6137
2012-10-03 18:00:00,293.66,0,0.0,0.0,20,4623
2012-10-03 19:00:00,290.65,0,0.0,0.0,20,3591
2012-10-03 20:00:00,288.19,0,0.0,0.0,20,2898
2012-10-03 21:00:00,287.1,0,0.0,0.0,1,2637
2012-10-03 22:00:00,286.25,0,0.0,0.0,1,1777
2012-10-03 23:00:00,285.26,0,0.0,0.0,1,1015
2012-10-04 00:00:00,284.55,0,0.0,0.0,1,598
2012-10-04 01:00:00,283.47,0,0.0,0.0,1,369
2012-10-04 02:00:00,283.17,0,0.0,0.0,1,312
2012-10-04 03:00:00,282.04,0,0.0,0.0,1,367
2012-10-04 04:00:00,281.69,0,0.0,0.0,1,835
2012-10-04 05:00:00,281.32,0,0.0,0.0,1,2726
2012-10-04 06:00:00,280.74,0,0.0,0.0,1,5689
2012-10-04 07:00:00,280.57,0,0.0,0.0,1,6990
2012-10-04 08:00:00,281.86,0,0.0,0.0,1,5985
2012-10-04 09:00:00,284.98,0,0.0,0.0,1,5309
2012-10-04 10:00:00,289.18,0,0.0,0.0,1,4603
2012-10-04 11:00:00,291.55,0,0.0,0.0,1,4884
2012-10-04 12:00:00,294.97,0,0.0,0.0,1,5104
2012-10-04 13:00:00,296.38,0,0.0,0.0,1,5178
2012-10-04 14:00:00,297.32,0,0.0,0.0,1,5501
2012-10-04 15:00:00,298.17,0,0.0,0.0,1,5713
2012-10-04 16:00:00,298.06,0,0.0,0.0,20,6292
2012-10-04 17:00:00,297.67,0,0.0,0.0,20,6057
2012-10-04 18:00:00,296.36,0,0.0,0.0,40,4907
2012-10-04 19:00:00,293.85,0,0.0,0.0,40,3503
2012-10-04 20:00:00,292.43,0,0.0,0.0,40,3037
2012-10-04 21:00:00,291.77,0,0.0,0.0,75,2822
2012-10-04 22:00:00,291.36,0,0.0,0.0,75,1992
2012-10-04 23:00:00,291.12,0,0.0,0.0,75,1166
2012-10-05 00:00:00,290.63,0,0.0,0.0,75,627
2012-10-05 01:00:00,290.46,0,0.0,0.0,40,388
2012-10-05 03:00:00,289.26,0,0.0,0.0,0,368
2012-10-05 05:00:00,283.21,0,0.0,0.0,75,2489
2012-10-05 06:00:00,282.24,0,0.0,0.0,90,5537
2012-10-05 07:00:00,281.69,0,0.0,0.0,90,6628
2012-10-05 08:00:00,280.57,0,0.0,0.0,90,5534
2012-10-05 09:00:00,280.02,0,0.0,0.0,75,5403
2012-10-05 10:00:00,280.11,0,0.0,0.0,75,4770
2012-10-05 11:00:00,280.0,0,0.0,0.0,90,5217
2012-10-05 12:00:00,280.53,0,0.0,0.0,90,5870
2012-10-05 13:00:00,281.43,0,0.0,0.0,75,5967
2012-10-05 14:00:00,281.78,0,0.0,0.0,90,6108
2012-10-05 15:00:00,281.91,0,0.0,0.0,90,6128
2012-10-05 16:00:00,281.73,0,0.0,0.0,90,6069
2012-10-05 17:00:00,281.42,0,0.0,0.0,90,6169
2012-10-05 18:00:00,280.87,0,0.0,0.0,90,5384
2012-10-05 19:00:00,280.15,0,0.0,0.0,90,4063
2012-10-05 20:00:00,279.78,0,0.0,0.0,90,3364
2012-10-05 21:00:00,279.65,0,0.0,0.0,75,2971
2012-10-05 22:00:00,279.22,0,0.0,0.0,40,2450
2012-10-05 23:00:00,279.06,0,0.0,0.0,40,1832
2012-10-06 00:00:00,278.81,0,0.0,0.0,90,1231
2012-10-06 01:00:00,278.55,0,0.0,0.0,90,718
2012-10-06 02:00:00,278.59,0,0.0,0.0,90,545
2012-10-06 04:00:00,276.99,0,0.0,0.0,75,411
2012-10-06 05:00:00,276.35,0,0.0,0.0,20,688
2012-10-06 06:00:00,275.4,0,0.0,0.0,1,1352
2012-10-06 07:00:00,275.17,0,0.0,0.0,1,2072
2012-10-06 08:00:00,274.99,0,0.0,0.0,1,3342
2012-10-06 09:00:00,275.09,0,0.0,0.0,40,4258
2012-10-06 10:00:00,276.88,0,0.0,0.0,20,4861
2012-10-06 11:00:00,278.04,0,0.0,0.0,20,5191
2012-10-06 12:00:00,279.08,0,0.0,0.0,40,5669
2012-10-06 13:00:00,280.12,0,0.0,0.0,75,5074
2012-10-06 14:00:00,280.25,0,0.0,0.0,75,5025
2012-10-06 15:00:00,280.0,0,0.0,0.0,75,5153
2012-10-06 16:00:00,279.06,0,0.0,0.0,90,5024
2012-10-06 17:00:00,278.91,0,0.0,0.0,90,4779
2012-10-06 18:00:00,278.39,0,0.0,0.0,90,4362
2012-10-06 19:00:00,278.16,0,0.0,0.0,90,3860
2012-10-06 20:00:00,278.16,0,0.0,0.0,90,3160
2012-10-06 21:00:00,277.93,0,0.0,0.0,90,2992
2012-10-06 22:00:00,276.9,0,0.0,0.0,90,3202
2012-10-06 23:00:00,276.34,0,0.0,0.0,75,1941
2012-10-07 00:00:00,276.11,0,0.0,0.0,75,1233
2012-10-07 03:00:00,275.73,0,0.0,0.0,90,323
2012-10-07 04:00:00,275.65,0,0.0,0.0,90,312
2012-10-07 05:00:00,275.51,0,0.0,0.0,75,627
2012-10-07 06:00:00,275.05,0,0.0,0.0,90,1508
2012-10-07 07:00:00,274.77,0,0.0,0.0,90,1539
2012-10-07 08:00:00,274.77,0,0.0,0.0,75,2232
